"No.","Time","Source","Destination","Protocol","Length","Info"
"230","44.002192","192.168.18.24","192.168.18.21","HTTP","652","GET /?ObVX1=grNeb7LrYA7&71aIx6=LGConXHM3PfPfsevXn&bIgBKn2Ix=3qeME3hA3CuwWh8kiUJi HTTP/1.1 "
"231","44.002245","192.168.18.21","192.168.18.24","TCP","66","80  >  56306 [ACK] Seq=1 Ack=442 Win=64768 Len=0 TSval=4274463108 TSecr=3500050553"
"232","44.002616","192.168.18.21","192.168.18.24","TCP","66","80  >  56310 [ACK] Seq=1 Ack=437 Win=64768 Len=0 TSval=4274463108 TSecr=3500050554"
"233","44.002921","192.168.18.21","192.168.18.24","TCP","74","80  >  56384 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463109 TSecr=3500050554 WS=128"
"234","44.003786","192.168.18.21","192.168.18.24","TCP","66","80  >  56316 [ACK] Seq=1 Ack=587 Win=64640 Len=0 TSval=4274463109 TSecr=3500050555"
"235","44.004214","192.168.18.24","192.168.18.21","TCP","74","56392  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050555 TSecr=0 WS=128"
"236","44.004215","192.168.18.24","192.168.18.21","TCP","74","56394  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050556 TSecr=0 WS=128"
"237","44.004215","192.168.18.24","192.168.18.21","HTTP","340","GET /?RW2=WF8P8m&c1H4=66dg6fW&qiaiK05Rmj=LHcjgj HTTP/1.1 "
"238","44.004215","192.168.18.24","192.168.18.21","TCP","74","56408  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050556 TSecr=0 WS=128"
"239","44.004215","192.168.18.24","192.168.18.21","HTTP","505","GET /?ByrK05dbAA=wCP48MeianENhEni HTTP/1.1 "
"240","44.004215","192.168.18.24","192.168.18.21","TCP","74","56410  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050557 TSecr=0 WS=128"
"241","44.004215","192.168.18.24","192.168.18.21","TCP","66","56342  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050558 TSecr=4274463061"
"242","44.004215","192.168.18.24","192.168.18.21","TCP","66","56352  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050558 TSecr=4274463065"
"243","44.004246","192.168.18.21","192.168.18.24","TCP","74","80  >  56392 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463110 TSecr=3500050555 WS=128"
"244","44.004514","192.168.18.21","192.168.18.24","TCP","74","80  >  56394 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463110 TSecr=3500050556 WS=128"
"245","44.004696","192.168.18.21","192.168.18.24","TCP","66","80  >  56322 [ACK] Seq=1 Ack=275 Win=64896 Len=0 TSval=4274463110 TSecr=3500050556"
"246","44.005077","192.168.18.21","192.168.18.24","TCP","74","80  >  56408 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463111 TSecr=3500050556 WS=128"
"247","44.005323","192.168.18.21","192.168.18.24","TCP","66","80  >  56328 [ACK] Seq=1 Ack=440 Win=64768 Len=0 TSval=4274463111 TSecr=3500050557"
"248","44.005543","192.168.18.21","192.168.18.24","TCP","74","80  >  56410 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463111 TSecr=3500050557 WS=128"
"249","44.005855","192.168.18.24","192.168.18.21","TCP","66","56358  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050558 TSecr=4274463067"
"250","44.005855","192.168.18.24","192.168.18.21","TCP","66","56368  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050558 TSecr=4274463070"
"251","44.005855","192.168.18.24","192.168.18.21","HTTP","737","GET /?uKo=R6T5o5gWU&PXPkVA=Ai2Kx0ufS1&175Le=HucJSSi6pGQ&5sK3MWaY=WDq1Ubm3S3E5diBUrfgK&DBa=vMwWNlR8dbAL75qNCI80 HTTP/1.1 "
"252","44.005855","192.168.18.24","192.168.18.21","HTTP","696","GET /?f1FW=MewKUIHV5AjO7bCbaL&3gCbksS=tXxRdHc0Fbmc7JxDhth&OrHn=ky0U8gNkGm&cqb6eQ=8RSEf&ylRnPu1=NonKQBrY6Ko HTTP/1.1 "
"253","44.005855","192.168.18.24","192.168.18.21","TCP","74","56420  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050558 TSecr=0 WS=128"
"254","44.005855","192.168.18.24","192.168.18.21","HTTP","695","GET /?H3QSEbYRGh=gQmi7YPRlS6Ldty8wdL&f1sLqtPHil=Co7FPAxdAuxdpVxv&exqFg=6FV261CRBn&NjeNaiDSva=dhGY HTTP/1.1 "
"255","44.005855","192.168.18.24","192.168.18.21","TCP","74","56428  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050559 TSecr=0 WS=128"
"256","44.005855","192.168.18.24","192.168.18.21","HTTP","525","GET /?mPwFFbPUl8=OWA3G&mXDUV=DtU&88T=CbA2qV1JCq8 HTTP/1.1 "
